Collection,Location,Box,Folder,Series,Subseries,Description
Glenn,01-7-23-20-01-0-1,1,1,Personal/Political,Administrative Assistant,"William R. White - Memoranda - received, 1977."
Glenn,01-7-23-20-01-0-1,1,2,Personal/Political,Administrative Assistant,"William R. White - Memoranda - received, January - June 1978."
Glenn,01-7-23-20-01-0-1,1,3,Personal/Political,Administrative Assistant,"William R. White - Memoranda - received, July - December 1978."
Glenn,01-7-23-20-01-0-1,1,4,Personal/Political,Administrative Assistant,"William R. White - Memoranda - received, 1979."
Glenn,01-7-23-20-01-0-1,1,5,Personal/Political,Administrative Assistant,"William R. White - Memoranda - received, 1980."
Glenn,01-7-23-20-01-0-1,1,6,Personal/Political,Administrative Assistant,"William R. White - Memoranda - received, 1981."
Glenn,01-7-23-20-01-0-1,1,7,Personal/Political,Administrative Assistant,"William R. White - Memoranda - received, January - March 1982."
Glenn,01-7-23-20-01-0-1,1,8,Personal/Political,Administrative Assistant,"William R. White - Memoranda - received, April - December 1982."
Glenn,01-7-23-20-01-0-1,1,9,Personal/Political,Administrative Assistant,"William R. White - Memoranda - received from the Press Department, 1976-1979."
Glenn,01-7-23-20-01-0-1,1,10,Personal/Political,Administrative Assistant,"William R. White - Memoranda - to JHG, 1976."
Glenn,01-7-23-20-01-0-1,1,11,Personal/Political,Administrative Assistant,"William R. White - Memoranda - to JHG, 1977."
Glenn,01-7-23-20-01-0-1,1,12,Personal/Political,Administrative Assistant,"William R. White - Memoranda - to JHG, 1978."
Glenn,01-7-23-20-01-0-1,1,13,Personal/Political,Administrative Assistant,"William R. White - Memoranda - to JHG, 1979."
Glenn,01-7-23-20-01-0-1,1,14,Personal/Political,Administrative Assistant,"William R. White - Memoranda - to JHG, 1980."
Glenn,01-7-23-20-01-0-1,1,15,Personal/Political,Administrative Assistant,"William R. White - Memoranda - to JHG, 1981."
Glenn,01-7-23-20-01-0-1,1,16,Personal/Political,Administrative Assistant,"William R. White - Memoranda - to JHG, 1982."
Glenn,01-7-23-20-01-0-1,1,17,Personal/Political,Administrative Assistant,"William R. White - Memoranda - to JHG, undated."
Glenn,01-7-23-20-01-0-1,1,18,Personal/Political,Administrative Assistant,"William R. White - Memoranda - on legislative matters, 1976-1977."
Glenn,01-7-23-20-01-0-1,1,19,Personal/Political,Administrative Assistant,"William R. White - Memoranda - on legislative matters, January - June 1978."
Glenn,01-7-23-20-01-0-1,1,20,Personal/Political,Administrative Assistant,"William R. White - Memoranda - on legislative matters, July - August 1978."
Glenn,01-7-23-20-01-0-1,1,21,Personal/Political,Administrative Assistant,"William R. White - Memoranda - on legislative matters, September - December 1978."
Glenn,01-7-23-20-01-0-1,1,22,Personal/Political,Administrative Assistant,"William R. White - Memoranda - on legislative matters, 1979."
Glenn,01-7-23-20-01-0-1,1,23,Personal/Political,Administrative Assistant,"William R. White - Memoranda - on legislative matters, 1980-1982."
Glenn,01-8-38-04-06-0-1,2,1,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - abortion, 1976-1979."
Glenn,01-8-38-04-06-0-1,2,2,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - appropriations, 1976-1979."
Glenn,01-8-38-04-06-0-1,2,3,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - armed services ( B-1; F-14; and the F-18 aircraft and neutron bomb), 1975- 1978."
Glenn,01-8-38-04-06-0-1,2,4,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - arson, 1978-1981."
Glenn,01-8-38-04-06-0-1,2,5,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - banking, housing, and urban affairs, 1975-1978."
Glenn,01-8-38-04-06-0-1,2,6,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - Black Lung Benefit Program, 1976-1977."
Glenn,01-8-38-04-06-0-1,2,7,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - civil rights, 1978."
Glenn,01-8-38-04-06-0-1,2,8,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - Consumer Communications Reform Act, 1976-1977."
Glenn,01-8-38-04-06-0-1,2,9,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - Consumer Communications Reform Act,  background materials, 1975-1976."
Glenn,01-8-38-04-06-0-1,2,10,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - energy, 1979."
Glenn,01-8-38-04-06-0-1,2,11,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - environment, 1977-1978."
Glenn,01-8-38-04-06-0-1,2,12,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - Equal Rights Amendment, 1978."
Glenn,01-8-38-04-06-0-1,2,13,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - executive reorganization, 1977-1978."
Glenn,01-8-38-04-06-0-1,2,14,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - health issues, 1977-1978."
Glenn,01-8-38-04-06-0-1,2,15,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - Illinois Brick decision, 1978-1979."
Glenn,01-8-38-04-06-0-1,2,16,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - inflation issues, 1978-1979."
Glenn,01-8-38-04-06-0-1,2,17,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - judiciary matters, 1977-1978 and no date."
